Posts,Followers,Following,Sex,Posts of themselves in last 10 posts,Posts in last year
10,722,980,F,10,9
23,858,3831,F,0,7
27,465,586,M,4,11
0,106,176,M,0,0
4,433,426,M,0,0
9,718,1660,F,0,5
5,525,399,M,0,0
17,627,520,F,7,5
6,515,507,F,0,2
12,109,95,F,9,0
86,878,1837,F,9,17
1,243,830,M,0,0
183,1125,1260,F,4,20
40,192,402,F,6,2
251,2384,950,F,8,15
92,419,646,F,8,1
147,528,947,M,10,8
10,197,327,F,8,6
19,388,371,M,7,2
1,223,412,M,0,0
0,642,256,F,0,0
2,499,352,M,0,1
28,753,1548,F,8,6
524,37,47,M,7,0
256,1534,5093,F,8,9
27,545,509,F,10,14
17,298,548,F,9,2
0,50,60,F,0,0
3,538,713,M,0,0
1,675,245,M,0,1
4,323,493,F,0,4
57,974,736,F,9,15
64,720,1094,F,3,1
0,534,506,M,0,0
30,654,664,F,10,0
315,4142,3001,F,8,32
279,681,497,F,10,18
646,1776,1791,F,7,58
287,1414,1039,F,7,23
308,619,789,F,1,36
115,619,872,F,10,0
0,300,279,F,0,0
0,403,205,M,0,0
64,208,272,F,9,30
3,784,740,F,0,2
15,415,1733,F,1,1
40,903,985,M,3,0
2,156,206,M,0,0
13,1433,1272,M,10,1
39,1158,841,F,10,5
26,1065,984,F,10,5
12,204,346,F,4,0
277,85,88,F,4,3
42,718,782,F,6,13
38,396,401,F,4,3
37,1364,738,F,8,6
109,1058,1089,F,10,48
0,71,76,M,0,0
11,605,550,M,9,1
266,1245,1540,F,10,10
9,262,356,M,0,0
37,263,357,M,1,4
121,1717,1135,M,9,3
54,1093,1018,F,10,0
1,283,293,M,0,0
15,761,804,F,9,11
7,308,313,M,0,1
18,386,618,M,9,1
101,933,984,M,8,6
26,451,425,M,10,3
66,577,513,M,9,3
375,1309,1260,F,10,59
133,1370,1035,F,10,1
26,487,522,M,10,0
39,330,269,M,8,1
31,777,781,M,9,7
33,474,490,M,10,3
21,141,143,F,5,1
0,344,527,M,0,0
30,596,572,F,9,6
8,937,415,M,0,8
78,685,1005,M,10,6
0,394,323,M,0,0
58,1506,1910,M,7,14
34,633,849,F,9,13
5,528,532,M,0,1
40,1342,1027,M,10,5
2,122,312,F,0,0
